Student ID,Student Name,Gender,Event Date,Age,City,Department,Event Type,Registration Date,Registration Channel,Payment Status,Attendance Status,Meal Preference,Registration Fee,Event Duration Hours,Feedback Rating
S11440,Suresh Kumar,MALE,11/7/2026,25,Coimbatore,Arts,Seminar,7/7/2026,Website,Pending,attended,Vegan,200,1,5
S12605,Pooja Das,Male,3/26/2026,25,Chennai,Management,Cultural Fest,23/02/2026,Email,paid,Registered,No-meal,500,2.5,2
S10001,Manoj Kumar,Female,7/18/2026,19,Madurai, Management,Career Fair,27/05/2026,Mobile App,Refunded,Absent,Vegetarian,500,2,3
S12523,Meena Patel,Female,9/2/2026,26,Madurai,Computer Science,Seminar,14/07/2026,Mobile App,Waived,Cancelled,Vegetarian,250,1.5,
S11035,Karthik Rao,FEMALE,18/01/2026,19,Trichy,Arts,Workshop,13/12/2025,Email,PENDING,Attended,No Meal,750 rupees,1.0 hr,4.0 / 5
S11794,Arun Kumar,Other,1/8/2026,26,Kochi,Computer Science,Workshop,24/06/2026,Email,PAID,attended,Vegetarian,150,4,3
S12682,Ravi Patel,Male,3/26/2026,17,Madurai,Computer Science,Career Fair,13/02/2026,Email,Waived,Cancelled,Non-Vegetarian,500,3,3
S12304,Harini Iyer,Female,1/25/2026,25,Madurai,Civil Engineering,Career Fair,17/01/2026,Mobile App,Pending,Absent,No-meal,150,1,2
S10519,Keerthi Rao,Female,12/7/2026,20,  Trichy  ,Computer Science,Career Fair,14/06/2026,Website,PAID,absent ,Non-Vegetarian,100,1,2
S11260,Ravi Patel,Female,10/5/2026,17,Hyderabad,Electronics,Workshop,26/04/2026,Website,Pending,Attended,Non-Vegetarian,Rs 250,1.5 hours,4
S12502,Vikram Das,Other,12/1/2026,18,Hyderabad,Computer Science,WORKSHOP,18/12/2025,Email,Refunded,attended,No-meal,200,4,1
S12561,Deepa Sharma,Male,4/9/2026,23,Pune,Computer Science,Workshop ,1/3/2026,Website,PENDING,Registered,Vegetarian,INR 500,4.0 hr,4
S12455,Deepa Sharma,Other,13-Aug-26,25,Chennai,Electronics,Sports Meet,16/07/2026,Website,Refunded,Absent,Non-Vegetarian,100,2.5,4.0 / 5
S12659,Ajay Nair,Other,4/30/2026,19,Pune,Electronics,Sports Meet,6/3/2026, Website,Pending,Registered,No-meal,100,1,3
S10039,Manoj Kumar,Male,30-Jun-26,27,Chennai,Mechanical,Sports Meet,30/05/2026,Mobile App,Refunded,Cancelled,Non-Vegetarian,750,2.5,1
S10397,Deepa Sharma,Male,8/9/2026,19,Mysuru,Commerce,Sports Meet,23/07/2026,Email,Paid,Absent,,0,1.5,
S10013,Suresh Kumar, Female,1/28/2026,20,Mysuru,Civil Engineering,Seminar,29/11/2025,Email,paid,Attended,Vegetarian,Rs 150,2.5 hr,4.0 / 5
S11903,Divya Iyer, Female,2-May-26,19,Pune,Mechanical,Seminar,30/04/2026,Walk-in,Pending,ABSENT,No Meal,750,2.5,2.0 / 5
S12176,Deepa Sharma,Male,15-Apr-26,26,Bengaluru,Electronics,Hackathon,19/03/2026,Walk-in,Refunded,Registered,Non-Vegetarian,250 rupees,4.0 hr,4
S12358,Divya Iyer,Other,11/6/2026,24,Salem,Mechanical,Seminar,7/6/2026,Email,pending,Attended,Vegetarian,250,2,3
S10183,Lakshmi Rao,Female,6-Jul-26,18,Bengaluru,Arts,Seminar,18/06/2026,Email,Refunded,attended,   ,0,1.5,5.0 / 5
S12740,Arun Kumar,Other,28-Jan-26,19,Madurai,Civil Engineering,Sports Meet,18/12/2025,Walk-in,Pending,cancelled,Vegan,INR 500,3.0 hr,5.0 / 5
S11214,Meena Patel,female,2/15/2026,21,Bengaluru,Mechanical,Seminar,6/1/2026,Walk-in,Paid,Attended,Vegan,200,6,1.0 / 5
S10146,Rahul Menon,male,4/12/2026,27,Trichy,Civil Engineering,Hackathon,25/02/2026,Website,Paid,absent,Non-Vegetarian,150,4,4.0 / 5
S11957,Vijay Menon,Male,6/8/2026,26,Madurai,,Hackathon,9/5/2026,Campus Desk,PENDING,Attended,Non-Vegetarian,750,4,5
S10468,Priya Sharma,Female,1/22/2026,17,Hyderabad,Mechanical,Hackathon,27/11/2025,Email,Paid,ATTENDED,Vegan,500,2.5,5
S12006,Pooja Das,Female,5/27/2026,21,Chennai,Commerce,Hackathon,27/04/2026,Website,waive,Registered,No Meal,750,2.5,4
S10323,Pooja Das,Female,1/28/2026,25,Coimbatore,Electronics,Cultural Fest,12/12/2025,Campus Desk,Pending,Cancelled,No-meal,₹100,1.5 hours,5
S10953,Vikram Das,Female,25/04/2026,19,Madurai,Commerce,Cultural Fest,26/03/2026,Email,Paid,ABSENT,Vegetarian,0,6,1.0 / 5
S11274,Suresh Kumar,Male,6/8/2026,24,Kochi,Commerce,Workshop,5/8/2026,Campus Desk,Pending,Attended,No Meal,250,2,2
S12261,Vikram Das,Other,8/11/2026,17,Trichy,Arts,Sports Meet,10/8/2026,Walk-in,Paid,cancelled,Non-Vegetarian,750,2,1
S12375,Suresh Kumar,Female,31/07/2026,23,Trichy,Commerce,Career Fair,4/7/2026,Walk-in,Paid,Cancelled,Non-Vegetarian,300,2,4
S10900,Lakshmi Rao,,12/2/2026,25,Kochi,Mechanical,Seminar,10/2/2026,Campus Desk,waive,Absent,Non-Vegetarian,300,6,2
S12156,Priya Sharma,Male,23/02/2026,25,Salem,Electronics,Workshop,31/01/2026,Website,Pending,Registered,Non-Vegetarian,300,3,2
S12822,Suresh Kumar,Other,5/4/2026,22,Trichy,Management,Sports Meet,28/03/2026,Campus Desk,Waived,Attended,No-meal,Not Available,4.0 hr,1
S12575,Priya Sharma,Male,4-Apr-26,21,Pune,Arts,Hackathon,3/4/2026,Email,Pending,Absent,No Meal,150,1.5,3
S10365,Naveen Sharma,Other,18/07/2026,21,Hyderabad,Computer Science,Cultural Fest,29/05/2026,Walk-in,Waived,Attended,No Meal,200,1.5,5
S11777,Priya Sharma,Other,5/15/2026,25,Hyderabad,Management,Cultural Fest,14/04/2026,Email,Pending,ATTENDED,No Meal,300,1,5
S12932,Priya Sharma,Male,20/03/2026,26,Bengaluru,Electronics,Seminar,10/2/2026,Email,Refunded,cancelled,Vegetarian,300,6,5.0 / 5
S12497,Karthik Rao,Female,21-Apr-26,23,Coimbatore,Civil Engineering,Sports Meet,31/03/2026,Email,Paid,Attended,  No Meal  ,0,1.5,3
S12762,Suresh Kumar,Male,3/14/2026,20,Trichy,Commerce,Cultural Fest,21/01/2026,Walk-in,Pending,Cancelled,Vegan,250,3,3
S10159,Ajay Nair,Male,4/5/2026,24,Salem,Electronics,Career Fair,9/2/2026,Campus Desk,Refunded,ATTENDED,Vegan,150,6,3
S10119,Anitha Nair, Male,30-Mar-26,24,Chennai,,Career Fair,12/2/2026,Mobile App,PAID,Attended,No-meal,100,4,2.0 / 5
S11329,Arun Kumar,Female,2/9/2026,21,Madurai,Commerce,Workshop,30/08/2026,Email,Paid,ABSENT,Vegetarian,200,1.5,2
S11240,Suresh Kumar,Female,4/6/2026,19,Mysuru,Electronics,Cultural Fest,15/02/2026,Email,Pending,absent ,Non-Vegetarian,250,2.5,5
S10010,Swetha Menon,Other,1/10/2026,25,Mysuru,Commerce,Sports Meet,3/12/2025,Mobile App,Pending,Attended,Vegan ,200,3,2
S10168,Rahul Menon, Male,8/5/2026,22,Salem,Mechanical,Cultural Fest,17/07/2026,Mobile App,Refunded,absent ,Vegan,₹150,3.0 hours,4
S12161,Vijay Menon,Male,4-May-26,24,Kochi,Computer Science,Workshop,2/5/2026,Website,Pending,Registered,Vegan,150,2.5,2.0 / 5
S12398,Lakshmi Rao,Male,2/22/2026,19,Bengaluru,Electronics,Cultural Fest,2/1/2026,Website,Refunded,Registered,Vegan,150,6,2.0 / 5
S10286,Divya Iyer,Male,7/12/2026,24,Hyderabad,Mechanical,Sports Meet,23/06/2026,Email,waive,Registered,Non-Vegetarian,150,1.5,5
S11271,Vijay Menon,Other,4/19/2026,26,Pune,Commerce,Seminar,15/03/2026,Mobile App,Paid,ABSENT,Non-Vegetarian,0,1,
S12522,Naveen Sharma,Other,19/05/2026,21,Madurai,Civil Engineering,Hackathon,26/03/2026,Mobile App,Waived,Cancelled,Vegan,100,1.5,2
S12807,Ravi Patel,Female,9-Mar-26,27,Trichy,Computer Science,Seminar,13/02/2026,Walk-in,Paid,cancelled,Vegetarian,150,4,5.0 / 5
S10625,Ajay Nair,Female,5/6/2026,20,Chennai,Commerce,Hackathon,11/5/2026,Website,Refunded,Registered,Vegan,0,2,1
S10330,Vikram Das,Other,12-Mar-26,26,Trichy,Computer Science,Workshop,6/2/2026,Email,Waived,Cancelled,Vegan,300,1.5,5.0 / 5
S11070,Divya Iyer,Female,18-Mar-26,25,Pune,Computer Science,  Cultural Fest  ,2/2/2026,Campus Desk,pending,Registered,No-meal,200,2,4
S11404,Priya Sharma,Other,6/7/2026,24,Hyderabad,Civil Engineering,Cultural Fest,10/4/2026,Mobile App,Paid,absent,Non-Vegetarian,0,2.5,4
S11477,Priya Sharma,Male,26-Jan-26,20,Salem,Arts,Hackathon,6/1/2026,Website,Paid,absent ,Non-Vegetarian,100,2,1
S11767,Deepa Sharma,Female,27/03/2026,20,Madurai,Mechanical,Sports Meet,31/01/2026,Mobile App,Refunded,Attended,Vegan,150,6,3
S11094,Naveen Sharma,Male,30-Mar-26,20,Madurai,Commerce,Workshop,3/2/2026,Walk-in,Pending,Absent,Non-Vegetarian,250,1,1
S11618,Manoj Kumar,Other,5/1/2026,21,Trichy,Arts,Cultural Fest,3/1/2026,Website,Pending,cancelled,Non-Vegetarian,INR 200,2.5 hours,5.0 / 5
S10110,Priya Sharma,Female,2/8/2026,21,Chennai,Commerce,Hackathon,13/12/2025,Walk-in,Paid,ATTENDED,No-meal,300,6,4
S10807,Pooja Das,Female,5/28/2026,17,Trichy,Commerce,Cultural Fest,16/04/2026,Website,Pending,Attended,No-meal,300,2.5,2
S12344,Karthik Rao,male,24-Jul-26,27,Salem,Mechanical,Workshop,28/05/2026,Email,Waived,Attended,Vegan,750,2,
S12242,Arun Kumar,Male,6/18/2026,17,Coimbatore,Computer Science,Seminar,24/04/2026,Website,Refunded,absent ,Non-Vegetarian,250,4,1.0 / 5
S10822,Harini Iyer,Other,2/3/2026,24,Chennai,Civil Engineering,Career Fair,23/01/2026,Mobile App,pending,Attended,Vegetarian,100,1.5,5
S11883,Naveen Sharma,Female,4/29/2026,23,Salem,Civil Engineering,workshop,4/3/2026,Walk-in,Pending,Registered,No-meal,Rs 750,3.0 hours,5
S10086,Keerthi Rao,Other,2/23/2026,19,Pune,Electronics,Workshop,8/2/2026,Mobile App,Pending,absent ,No Meal,150,1,3
S10269,Karthik Rao,Male,25/07/2026,25,Bengaluru,  Mechanical  ,Career Fair,3/7/2026,Mobile App,paid,Registered,No-meal,₹0,1.5 hours,4.0 / 5
S12533,Divya Iyer,Female,4/25/2026,21,Kochi,Civil Engineering,Seminar,20/03/2026,Email,Waived,Registered,Vegan,750,1.5,2
S10067,Naveen Sharma,Female,2/2/2026,17,Coimbatore,Computer Science,Sports Meet,21/12/2025,Mobile App,Pending,Absent,Non-Vegetarian,INR 150,1.0 hours,3
S12676,Swetha Menon,Other,5-Aug-26,21,Madurai,Management,Seminar,8/6/2026,Website,Pending,absent ,Vegetarian,Rs 750,2.5 hours,3
S10310,Ajay Nair,Other,14-Mar-26,23,Kochi,Arts,Career Fair,23/01/2026,Campus Desk,PENDING,Registered,Vegetarian,300,4,5
S11861,Priya Sharma,Other,7/15/2026,19,Chennai,Mechanical,Sports Meet,27/06/2026,Campus Desk,Pending,Cancelled,No Meal,750,6,1
S12977,Swetha Menon,Other,30/06/2026,21,Trichy,Computer Science,Seminar,21/06/2026, Campus Desk,waive,Cancelled,No Meal,0,2,3
S10120,Ajay Nair,Female,20-Jun-26,20,Mysuru,Mechanical,Career Fair,14/05/2026,Walk-in,Waived,Attended,Vegetarian,0,1.5,4
S12514,Harini Iyer,Other,24-Apr-26,18,Kochi,Computer Science,Sports Meet,14/03/2026,Mobile App,Pending,cancelled,Vegetarian,100,3,3
S12195,Lakshmi Rao,Other,21/04/2026,26,Hyderabad,Mechanical,Seminar,23/02/2026,Email,Paid,absent ,Vegetarian,150,3,5
S10140,Swetha Menon,Other,8-Jan-26,25,Chennai,Management,Sports Meet,6/1/2026,Email,Paid,attended,No-meal,250,3,3
S11284,Deepa Sharma,MALE,9/1/2026,26,Bengaluru,Arts,Cultural Fest,2/8/2026,Mobile App,Pending,cancelled,Non-Vegetarian,750,4,5
S12961,Anitha Nair, Male,2/1/2026,22,Hyderabad,Computer Science,seminar,13/01/2026,Walk-in,Refunded,attended,Non-Vegetarian,500,1.5,3
S10180,Priya Sharma,Other,3/28/2026,23,Mysuru,Commerce,Hackathon,12/3/2026,Mobile App,Paid,Cancelled,Non-Vegetarian,300,2,1.0 / 5
S12938,Divya Iyer,Male,4/24/2026,23,Pune,Civil Engineering,Workshop,18/04/2026,Campus Desk,waive,ABSENT,No Meal,₹0,4.0 hr,4.0 / 5
S10664,Swetha Menon,Female,9-Jul-26,18,Bengaluru,Arts,Cultural Fest,6/7/2026,Campus Desk,Refunded,Registered,Vegan,0,2.5,5
S12193,Harini Iyer,Male,15-Apr-26,25,Pune, Management,Cultural Fest,12/4/2026,,Refunded,Absent,No Meal,300,1.5,1
S10132,Deepa Sharma,Other,20-Apr-26,21,Trichy,Civil Engineering,Career Fair,31/03/2026,Mobile App,waive,Registered,Non-Vegetarian,0,3,5
S12779,Naveen Sharma,FEMALE,9/2/2026,27,Kochi,Commerce,Career Fair,29/07/2026,Mobile App,pending,Cancelled,Vegetarian,750,2,5
S10942,Pooja Das,male,7/15/2026,17,Madurai,Arts,Workshop,22/05/2026,Website,waive,Absent,No Meal,Rs 300,6.0 hours,4
S10442,Karthik Rao,Female,6-Aug-26,25,Bengaluru,Commerce,Hackathon,13/07/2026,Walk-in,pending,cancelled,Vegetarian,₹200,2.5 hours,4
S11589,Manoj Kumar,Male,17-Mar-26,26,Hyderabad,Commerce,Cultural Fest,5/3/2026,Website,Paid,absent ,Non-Vegetarian,₹200,3.0 hr,1
S12241,Divya Iyer,Female,29/01/2026,20,Kochi,Civil Engineering,Cultural Fest,7/1/2026,Mobile App,Paid,Registered,Vegan,500,6,3
S12817,Meena Patel,Other,12-Aug-26,18,Coimbatore,Civil Engineering,workshop,8/7/2026,Website,Refunded,Attended,Vegetarian,₹500,3.0 hours,
S10921,Harini Iyer,Other,18-Aug-26,24,Chennai,Electronics,Sports Meet,2/8/2026,Website,Pending,Registered,Non-Vegetarian,INR 150,1.0 hr,5.0 / 5
S11336,Anitha Nair,Female,2/3/2026,20,Pune,Computer Science,Workshop,25/12/2025,Walk-in,Waived,Absent,Vegetarian,INR 300,2.0 hours,3
S11374,Harini Iyer,Male,12/4/2026,21,Kochi,Electronics,Career Fair,1/3/2026,Website,Waived,attended,  Vegetarian  ,INR 150,6.0 hr,5.0 / 5
S11316,Ajay Nair,Male,2-Apr-26,21,Pune,Mechanical,Workshop,9/3/2026,Campus Desk,waive,Cancelled,Vegetarian,INR 150,2.5 hr,1
S11426,Pooja Das,Other,3/31/2026,22,Chennai,Arts, Seminar,19/02/2026,Website,Pending,Cancelled,Vegetarian,150,3,5.0 / 5
S10955,Pooja Das,male,7/5/2026,24,Madurai,Civil Engineering,Career Fair ,22/04/2026,Email,Refunded,absent,Non-Vegetarian,150,1,2
S12625,Priya Sharma,Male,28-Feb-26,21,Salem,Management,Career Fair,16/01/2026,Website,Paid,cancelled,Vegetarian,0,4,2
S12201,Priya Sharma,Other,9/1/2026,21,Bengaluru,Arts,Sports Meet,24/07/2026,Email,Pending,cancelled,No Meal,750,2.5,2.0 / 5
S11835,Divya Iyer,Other,2-Jul-26,19,Madurai,Electronics,Workshop,21/06/2026,Walk-in,Waived,Registered,Non-Vegetarian,0,2,5
S11050,Lakshmi Rao,Male,10-Feb-26,17,Coimbatore,Civil Engineering,Seminar,10/1/2026,Walk-in,Paid,Registered,Vegetarian,₹500,1.0 hr,3.0 / 5
S11708,Lakshmi Rao,Male,12-May-26,22,Bengaluru,Electronics,Sports Meet,23/04/2026,Campus Desk,Waived,Attended,Non-Vegetarian,500,1,1
S11033,Rahul Menon,Other,4/3/2026,25,Salem,Commerce,Seminar,1/4/2026,Email,pending,Registered,No-meal,150,6,4.0 / 5
S11797,Ravi Patel,Male,3/21/2026,25,Chennai,Management,Sports Meet,6/2/2026,Website,Refunded,cancelled,Vegetarian,750,3,2
S11416,Lakshmi Rao,FEMALE,7/5/2026,21,Bengaluru,Mechanical,SEMINAR,10/6/2026,Walk-in,Refunded,absent,,300,1.5,1.0 / 5
S11183,Naveen Sharma,Other,20/04/2026,23, Trichy,Arts,Hackathon,8/3/2026,Campus Desk,Refunded,ABSENT,,200,2,3
S10725,Ajay Nair,Other,4-May-26,19,Pune,Management,Hackathon,30/03/2026,Mobile App,Waived,Absent,Non-Vegetarian,0,2.5,5
S11731,Arun Kumar, Female,7-Mar-26,23,Pune,Commerce,Workshop,6/2/2026,Campus Desk,Pending,Absent,Non-Vegetarian,250,1,5
S11609,Harini Iyer,Female,5/22/2026,27,Salem,Management,Workshop,15/04/2026,Mobile App,Refunded,Attended,Non-Vegetarian,100 rupees,4.0 hr,4
S12389,Suresh Kumar,Other,2-Feb-26,21,Pune,Management,Sports Meet,20/01/2026,Website,Refunded,absent ,Non-Vegetarian,INR 500,6.0 hr,
S12286,Suresh Kumar,Other,7-Jul-26,22,Chennai,Mechanical,Cultural Fest,30/06/2026,Website,Refunded,Cancelled,Vegan,100,4,3
S12516,Manoj Kumar,Female,5/9/2026,19,Coimbatore,Mechanical,Seminar,7/4/2026,Website,pending,Absent,No Meal,INR 300,1.0 hr,2
S12567,Arun Kumar,,6-Jun-26,21,Hyderabad,Management,workshop,17/04/2026,Email,Paid,Attended,Non-Vegetarian,200,6,2
S12204,Swetha Menon,Male,14/01/2026,23,Kochi,Civil Engineering,Seminar,7/1/2026,Walk-in,Refunded,Registered,Non-Vegetarian,300,2.5,4.0 / 5
S10232,Keerthi Rao,Male,3/30/2026,17,Mysuru,Civil Engineering,Cultural Fest,12/3/2026,Website,Refunded,Absent,Non-Vegetarian,200,3,4
S12662,Deepa Sharma,MALE,11/7/2026,21,Chennai,Electronics,Workshop,21/06/2026,Campus Desk,PAID,Absent,No Meal,250 rupees,1.0 hr,3.0 / 5
S12222,Swetha Menon,Female,5/9/2026,23,Mysuru,Management,Sports Meet,13/04/2026,Mobile App,Refunded,Registered,Non-Vegetarian,0,2,1
S10053,Naveen Sharma,Female,29/04/2026,24,Salem ,Civil Engineering,Hackathon,25/03/2026,Walk-in,waive,Cancelled,,₹300,2.0 hours,5.0 / 5
S12205,Swetha Menon,Other,28-Mar-26,27,Chennai,Mechanical,Sports Meet,12/3/2026,Mobile App,Pending,absent ,Non-Vegetarian,100,2,1
S12853,Anitha Nair,Male,8/11/2026,24,Chennai,Commerce,Workshop,5/7/2026,Website,Paid,attended,No-meal,100,4,2
S12330,Pooja Das,Male,23-Jun-26,19,Mysuru ,Commerce,Sports Meet,24/04/2026,Campus Desk,Pending,cancelled,No-meal,500,2,3
S11200,Harini Iyer,Male,3/9/2026,20,Kochi,Electronics,Sports Meet,27/01/2026,Campus Desk,Pending,Registered,No Meal,750,3,1
S12511,Swetha Menon,Other,24-Jun-26,25,Trichy,Mechanical,Cultural Fest,27/05/2026,Campus Desk,Refunded,Attended,Vegetarian,300,1.5,3
S11428,Karthik Rao,Other,31/02/2026,20,Pune,Computer Science,Sports Meet,8/6/2026,Mobile App,paid,ATTENDED,Non-Vegetarian,300,4,4
S12698,Arun Kumar,Other,8/13/2026,21,Chennai,Arts,Seminar,26/06/2026,Walk-in,waive,Absent,No Meal,150,1,1
S11042,Priya Sharma,Male,1/8/2026,-5,Chennai,Computer Science,SEMINAR,25/06/2026,Walk-in,pending,Cancelled,Vegetarian,300,1,4.0 / 5
S12273,Keerthi Rao,Other,8/27/2026,25,Hyderabad,Commerce,Seminar,20/08/2026,Mobile App,Refunded,absent ,Vegan ,INR 0,6.0 hours,2.0 / 5
S10210,Karthik Rao,Female,13-Jan-26,17,Salem,Computer Science,Sports Meet,14/12/2025,Mobile App,Pending,Attended,,300,4,2.0 / 5
S10544,Swetha Menon,Male,7/2/2026,26,Kochi,Computer Science,Cultural Fest,17/01/2026,Walk-in,PENDING,absent ,Vegetarian,0,6,3
S10528,Harini Iyer,Female,5-Aug-26,21,Kochi,Arts,Career Fair,8/7/2026,Campus Desk,pending,cancelled,Non-Vegetarian,250,3,5
S12841,Priya Sharma,Other,2/6/2026,21,Mysuru,Mechanical,Sports Meet,4/4/2026,Mobile App,Paid,Registered,Vegan,100,1.5,2
S12289,Manoj Kumar, Female,,22,Hyderabad ,Civil Engineering,Sports Meet,28/02/2026,Campus Desk,Waived,Absent,Vegetarian,100,4,5
S11303,Karthik Rao,Male,1/20/2026,20,Bengaluru,Management,Career Fair,6/12/2025,Website,Paid,Registered,Non-Vegetarian,100,3,4
S10258,Deepa Sharma,Other,18/07/2026,20,Trichy,Civil Engineering,Career Fair,16/06/2026,Email,Waived,Attended,Non-Vegetarian,100,2,3
S12963,Pooja Das,Other,8/21/2026,24,Mysuru,Management,Sports Meet,21/07/2026,Walk-in,Waived,Registered,Non-Vegetarian,0,4,2
S10595,Lakshmi Rao,Male,7/9/2026,19,Chennai,Civil Engineering,Hackathon,16/06/2026,Email,Pending,cancelled,No-meal,100,2,4
S11192,Karthik Rao,Male,8/20/2026,18,Trichy,Commerce,Hackathon,1/8/2026,Mobile App,Paid,Cancelled,No Meal,750,2,2.0 / 5
S11204,Suresh Kumar,Other,20-Mar-26,21,Trichy,Commerce,Career Fair,1/3/2026,Mobile App,Paid,Registered,Non-Vegetarian,₹750,6.0 hr,
S11892,Pooja Das,Male,8/1/2026,25,Chennai,Mechanical,Hackathon,22/06/2026,Mobile App,Paid,Registered,Non-Vegetarian,Rs 750,1.0 hr,2
S10730,Harini Iyer,Male,5/10/2026,26,Pune,Civil Engineering,Hackathon,28/03/2026,Campus Desk,Refunded,Attended,Vegan,0,1.5,5
S12970,Karthik Rao,Other,13-Jul-26,20,Madurai,Civil Engineering,Cultural Fest,5/6/2026,Walk-in,waive,Absent,No-meal,750,1,3
S10166,Suresh Kumar,female,18-Jul-26,27,Coimbatore,Civil Engineering,Career Fair,25/05/2026,Mobile App,Pending,Absent,Non-Vegetarian,500,2.5,2
S10844,Vijay Menon,Other,7/7/2026,17,Bengaluru,Management,Workshop,1/7/2026,Mobile App,paid,Registered,Vegetarian,500,6,2
S12215,Priya Sharma,female,14-Feb-26,25,Mysuru,Mechanical,Career Fair,15/01/2026,Email,Refunded,Registered,Vegan,0,6,5
S12198,Swetha Menon,Female,2/8/2026,21,Hyderabad,Arts, Sports Meet,25/12/2025,Walk-in,Refunded,Absent,Vegan,300,1.5,5
S10163,Pooja Das,male,22/07/2026,22,Trichy,Civil Engineering,Career Fair,17/06/2026,Campus Desk,Paid,Attended,Vegan,Rs 0,6.0 hours,4.0 / 5
S12952,Suresh Kumar,Female,23-Jun-26,18,Bengaluru,Management,seminar,14/06/2026,Website,Paid,Attended,Non-Vegetarian,300,1.5,
S10515,Vikram Das,Other,3/2/2026,18,Bengaluru,Commerce,Workshop,4/1/2026,Website,Waived,Registered,Vegetarian,150,4,2
S11403,Karthik Rao,Other,2-Apr-26,23,Kochi,Computer Science,Cultural Fest,22/03/2026,Walk-in,waive,Absent,Vegetarian,200,1.5,1
S11768,Naveen Sharma,Male,5-Mar-26,22,Mysuru,Mechanical,Seminar,15/02/2026,Mobile App,Pending,Attended,No-meal,200,4,2
S12152,Naveen Sharma,Male,3/12/2026,27,Bengaluru,Management,Career Fair,5/3/2026,Mobile App,paid,Attended,Vegan,100,1,5
S11056,Rahul Menon,Other,5/3/2026,20,Madurai,Computer Science,Sports Meet,18/03/2026,Email,Paid,Registered,Vegetarian,300,1,1
S12162,Lakshmi Rao,Male,20-Jan-26,20,Madurai,Management,workshop,9/12/2025,Website,Pending,Registered,Vegan,Rs 250,1.5 hr,
S11292,Priya Sharma,FEMALE,1/12/2026,19,Bengaluru,Arts,Seminar,6/1/2026,Campus Desk,Pending,Cancelled,Vegetarian,200,1.5,5
S11641,Anitha Nair,Female,11/7/2026,25,Hyderabad,Commerce,Seminar,8/7/2026,Website,Refunded,cancelled,Vegan,500,6,3
S12038,Priya Sharma,Other,6/12/2026,17,Mysuru,Electronics ,Career Fair,3/5/2026,Website,waive,Registered,No-meal,100,4,3
S11401,Vijay Menon,Other,1/19/2026,20,Madurai,Management,Seminar,20/11/2025,Walk-in,Refunded,Registered,Non-Vegetarian,750,2,3
S12767,Naveen Sharma,Female,7/11/2026,21,Mysuru,Commerce,Cultural Fest,14/06/2026,Email,Pending,Absent,Vegetarian,100,1,2
S11724,Vijay Menon,Male,3/4/2026,19,Chennai,Civil Engineering,Cultural Fest,12/2/2026,Campus Desk,Paid,Cancelled,Vegetarian,300,6,1
S10388,Priya Sharma,Female,18/02/2026,27,,Electronics,Hackathon,26/12/2025,Mobile App ,Pending,ABSENT,  Non-Vegetarian  ,150,1.5,2.0 / 5
S12545,Karthik Rao,Male,6/1/2026,21,Hyderabad,Management,Career Fair,26/05/2026,Email,pending,Cancelled,Vegan,250,3,5
S10164,Lakshmi Rao,Other,27/02/2026,26,Chennai,Electronics,Cultural Fest,6/1/2026,Website,Refunded,Attended,Non-Vegetarian,300,6,5
S12481,Deepa Sharma,Other,13-Aug-26,26,Mysuru,Computer Science,Sports Meet,23/07/2026,Email,Pending,Absent,Vegetarian,100,1,4
S10772,Keerthi Rao,,7/26/2026,24,Chennai,Electronics,Sports Meet,21/06/2026,Campus Desk,Refunded,Attended,Vegan,250,3,3
S10007,Keerthi Rao,MALE,3/21/2026,19,Hyderabad,Civil Engineering,Sports Meet,21/02/2026, Website,waive,absent,Vegetarian ,750,1,3
S10598,Karthik Rao,Female,5/12/2026,24,Trichy,Commerce,Career Fair,5/5/2026,Website,Pending,cancelled,Vegetarian,300,1.5,3
S11048, Karthik Rao,Other,4/4/2026,23,,Electronics,Sports Meet,16/02/2026,Mobile App,Paid,Registered,Vegan,100,6,1
S12022,Ajay Nair,Female,22-Jun-26,22,Chennai,Commerce,Seminar,25/05/2026,Mobile App,Refunded,absent ,No Meal,500,6,3
S12309,Manoj Kumar,Female,18/03/2026,26,Chennai,Civil Engineering,Cultural Fest,22/01/2026,Mobile App,Refunded,Absent,Non-Vegetarian,250,6,5
S12758,Pooja Das,Male,27-Jun-26,17,Salem,Arts,SEMINAR,30/04/2026,Mobile App,waive,cancelled,Vegetarian,300,3,4
S11304,Priya Sharma,Other,7/15/2026,26,Chennai,Electronics,seminar,8/7/2026,Website,Pending,Attended,No-meal,750,6,5
S12020,Lakshmi Rao,Other,6-Jan-26,26,Trichy,Civil Engineering, Workshop,14/11/2025,Email,Pending,Registered,No Meal,500,3,3
S10635,Keerthi Rao,Other,3/2/2026,17,Trichy,Arts,Cultural Fest,22/02/2026,Website,Paid,Registered,Vegetarian,Rs 0,3.0 hr,3
S10695, Ravi Patel,female,7/22/2026,24,Bengaluru,Commerce,Seminar,26/05/2026,Website,Waived,cancelled, Non-Vegetarian,750 rupees,3.0 hours,4
S10721,Pooja Das,Male,12/4/2026,21,Bengaluru,Mechanical,Career Fair,25/02/2026,Mobile App,Pending,Absent,Vegetarian,150,2,2
S12650,Harini Iyer,Female,5-Jan-26,18,Chennai,Management,Workshop,16/11/2025,Website,waive,Registered,Vegan,0,1.5,4
S10989,Swetha Menon,female,1/23/2026,20,Kochi,Arts,Cultural Fest,2/1/2026,Website,Refunded,Registered,,₹100,1.5 hours,2.0 / 5
