student_id,student_name,gender,event_date,age,city,department,event_type,registration_date,registration_channel,payment_status,attendance_status,meal_preference,registration_fee,event_duration_hours,feedback_rating
s11274,suresh kumar,male,2026-06-08,24,kochi,commerce,workshop,2026-05-08,campus desk,pending,attended,no-meal,250.0,2.0,2.0
s12261,vikram das,other,2026-08-11,17,trichy,arts,sports meet,2026-10-08,walk-in,paid,cancelled,non-vegetarian,750.0,2.0,1.0
s12375,suresh kumar,female,2026-07-31,23,trichy,commerce,career fair,2026-04-07,walk-in,paid,cancelled,non-vegetarian,300.0,2.0,4.0
s10900,lakshmi rao,unknown,2026-12-02,25,kochi,mechanical,seminar,2026-10-02,campus desk,waived,absent,non-vegetarian,300.0,6.0,2.0
s12156,priya sharma,male,2026-02-23,25,salem,electronics,workshop,2026-01-31,website,pending,registered,non-vegetarian,300.0,3.0,2.0
s12822,suresh kumar,other,2026-05-04,22,trichy,management,sports meet,2026-03-28,campus desk,waived,attended,no-meal,200.0,2.5,1.0
s12575,priya sharma,male,2026-04-04,21,pune,arts,hackathon,2026-03-04,email,pending,absent,no-meal,150.0,1.5,3.0
s10365,naveen sharma,other,2026-07-18,21,hyderabad,computer science,cultural fest,2026-05-29,walk-in,waived,attended,no-meal,200.0,1.5,5.0
s11777,priya sharma,other,2026-05-15,25,hyderabad,management,cultural fest,2026-04-14,email,pending,attended,no-meal,300.0,1.0,5.0
s12932,priya sharma,male,2026-03-20,26,bengaluru,electronics,seminar,2026-10-02,email,refunded,cancelled,vegetarian,300.0,6.0,3.0
s12497,karthik rao,female,2026-04-21,23,coimbatore,civil engineering,sports meet,2026-03-31,email,paid,attended,no-meal,0.0,1.5,3.0
s12762,suresh kumar,male,2026-03-14,20,trichy,commerce,cultural fest,2026-01-21,walk-in,pending,cancelled,vegan,250.0,3.0,3.0
s10159,ajay nair,male,2026-04-05,24,salem,electronics,career fair,2026-09-02,campus desk,refunded,attended,vegan,150.0,6.0,3.0
s10119,anitha nair,male,2026-03-30,24,chennai,unknown,career fair,2026-12-02,mobile app,paid,attended,no-meal,100.0,4.0,3.0
s11329,arun kumar,female,2026-02-09,21,madurai,commerce,workshop,2026-08-30,email,paid,absent,vegetarian,200.0,1.5,2.0
s11240,suresh kumar,female,2026-04-06,19,mysuru,electronics,cultural fest,2026-02-15,email,pending,absent,non-vegetarian,250.0,2.5,5.0
s10010,swetha menon,other,2026-01-10,25,mysuru,commerce,sports meet,2025-03-12,mobile app,pending,attended,vegan,200.0,3.0,2.0
s10168,rahul menon,male,2026-08-05,22,salem,mechanical,cultural fest,2026-07-17,mobile app,refunded,absent,vegan,200.0,2.5,4.0
s12161,vijay menon,male,2026-05-04,24,kochi,computer science,workshop,2026-02-05,website,pending,registered,vegan,150.0,2.5,3.0
s12398,lakshmi rao,male,2026-02-22,19,bengaluru,electronics,cultural fest,2026-02-01,website,refunded,registered,vegan,150.0,6.0,3.0
s10286,divya iyer,male,2026-07-12,24,hyderabad,mechanical,sports meet,2026-06-23,email,waived,registered,non-vegetarian,150.0,1.5,5.0
s11271,vijay menon,other,2026-04-19,26,pune,commerce,seminar,2026-03-15,mobile app,paid,absent,non-vegetarian,0.0,1.0,3.0
s12522,naveen sharma,other,2026-05-19,21,madurai,civil engineering,hackathon,2026-03-26,mobile app,waived,cancelled,vegan,100.0,1.5,2.0
s12807,ravi patel,female,2026-03-09,27,trichy,computer science,seminar,2026-02-13,walk-in,paid,cancelled,vegetarian,150.0,4.0,3.0
s10625,ajay nair,female,2026-05-06,20,chennai,commerce,hackathon,2026-11-05,website,refunded,registered,vegan,0.0,2.0,1.0
s10330,vikram das,other,2026-03-12,26,trichy,computer science,workshop,2026-06-02,email,waived,cancelled,vegan,300.0,1.5,3.0
s11070,divya iyer,female,2026-03-18,25,pune,computer science,cultural fest,2026-02-02,campus desk,pending,registered,no-meal,200.0,2.0,4.0
s11404,priya sharma,other,2026-06-07,24,hyderabad,civil engineering,cultural fest,2026-10-04,mobile app,paid,absent,non-vegetarian,0.0,2.5,4.0
s11477,priya sharma,male,2026-01-26,20,salem,arts,hackathon,2026-06-01,website,paid,absent,non-vegetarian,100.0,2.0,1.0
s11767,deepa sharma,female,2026-03-27,20,madurai,mechanical,sports meet,2026-01-31,mobile app,refunded,attended,vegan,150.0,6.0,3.0
s11094,naveen sharma,male,2026-03-30,20,madurai,commerce,workshop,2026-03-02,walk-in,pending,absent,non-vegetarian,250.0,1.0,1.0
s11618,manoj kumar,other,2026-05-01,21,trichy,arts,cultural fest,2026-03-01,website,pending,cancelled,non-vegetarian,200.0,2.5,3.0
s10110,priya sharma,female,2026-02-08,21,chennai,commerce,hackathon,2025-12-13,walk-in,paid,attended,no-meal,300.0,6.0,4.0
s10807,pooja das,female,2026-05-28,17,trichy,commerce,cultural fest,2026-04-16,website,pending,attended,no-meal,300.0,2.5,2.0
s12344,karthik rao,male,2026-07-24,27,salem,mechanical,workshop,2026-05-28,email,waived,attended,vegan,750.0,2.0,3.0
s12242,arun kumar,male,2026-06-18,17,coimbatore,computer science,seminar,2026-04-24,website,refunded,absent,non-vegetarian,250.0,4.0,3.0
s10822,harini iyer,other,2026-02-03,24,chennai,civil engineering,career fair,2026-01-23,mobile app,pending,attended,vegetarian,100.0,1.5,5.0
s11883,naveen sharma,female,2026-04-29,23,salem,civil engineering,workshop,2026-04-03,walk-in,pending,registered,no-meal,200.0,2.5,5.0
s10086,keerthi rao,other,2026-02-23,19,pune,electronics,workshop,2026-08-02,mobile app,pending,absent,no-meal,150.0,1.0,3.0
s10269,karthik rao,male,2026-07-25,25,bengaluru,mechanical,career fair,2026-03-07,mobile app,paid,registered,no-meal,200.0,2.5,3.0
s12533,divya iyer,female,2026-04-25,21,kochi,civil engineering,seminar,2026-03-20,email,waived,registered,vegan,750.0,1.5,2.0
s10067,naveen sharma,female,2026-02-02,17,coimbatore,computer science,sports meet,2025-12-21,mobile app,pending,absent,non-vegetarian,200.0,2.5,3.0
s12676,swetha menon,other,2026-08-05,21,madurai,management,seminar,2026-08-06,website,pending,absent,vegetarian,200.0,2.5,3.0
s10310,ajay nair,other,2026-03-14,23,kochi,arts,career fair,2026-01-23,campus desk,pending,registered,vegetarian,300.0,4.0,5.0
s11861,priya sharma,other,2026-07-15,19,chennai,mechanical,sports meet,2026-06-27,campus desk,pending,cancelled,no-meal,750.0,6.0,1.0
s12977,swetha menon,other,2026-06-30,21,trichy,computer science,seminar,2026-06-21,campus desk,waived,cancelled,no-meal,0.0,2.0,3.0
s10120,ajay nair,female,2026-06-20,20,mysuru,mechanical,career fair,2026-05-14,walk-in,waived,attended,vegetarian,0.0,1.5,4.0
s12514,harini iyer,other,2026-04-24,18,kochi,computer science,sports meet,2026-03-14,mobile app,pending,cancelled,vegetarian,100.0,3.0,3.0
s12195,lakshmi rao,other,2026-04-21,26,hyderabad,mechanical,seminar,2026-02-23,email,paid,absent,vegetarian,150.0,3.0,5.0
s10140,swetha menon,other,2026-01-08,25,chennai,management,sports meet,2026-06-01,email,paid,attended,no-meal,250.0,3.0,3.0
s11284,deepa sharma,male,2026-09-01,26,bengaluru,arts,cultural fest,2026-02-08,mobile app,pending,cancelled,non-vegetarian,750.0,4.0,5.0
s12961,anitha nair,male,2026-02-01,22,hyderabad,computer science,seminar,2026-01-13,walk-in,refunded,attended,non-vegetarian,500.0,1.5,3.0
s10180,priya sharma,other,2026-03-28,23,mysuru,commerce,hackathon,2026-12-03,mobile app,paid,cancelled,non-vegetarian,300.0,2.0,3.0
s12938,divya iyer,male,2026-04-24,23,pune,civil engineering,workshop,2026-04-18,campus desk,waived,absent,no-meal,200.0,2.5,3.0
s10664,swetha menon,female,2026-07-09,18,bengaluru,arts,cultural fest,2026-06-07,campus desk,refunded,registered,vegan,0.0,2.5,5.0
s12193,harini iyer,male,2026-04-15,25,pune,management,cultural fest,2026-12-04,unknown,refunded,absent,no-meal,300.0,1.5,1.0
s10132,deepa sharma,other,2026-04-20,21,trichy,civil engineering,career fair,2026-03-31,mobile app,waived,registered,non-vegetarian,0.0,3.0,5.0
s12779,naveen sharma,female,2026-09-02,27,kochi,commerce,career fair,2026-07-29,mobile app,pending,cancelled,vegetarian,750.0,2.0,5.0
s10942,pooja das,male,2026-07-15,17,madurai,arts,workshop,2026-05-22,website,waived,absent,no-meal,200.0,2.5,4.0
s10442,karthik rao,female,2026-08-06,25,bengaluru,commerce,hackathon,2026-07-13,walk-in,pending,cancelled,vegetarian,200.0,2.5,4.0
s11589,manoj kumar,male,2026-03-17,26,hyderabad,commerce,cultural fest,2026-05-03,website,paid,absent,non-vegetarian,200.0,2.5,1.0
s12241,divya iyer,female,2026-01-29,20,kochi,civil engineering,cultural fest,2026-07-01,mobile app,paid,registered,vegan,500.0,6.0,3.0
s12817,meena patel,other,2026-08-12,18,coimbatore,civil engineering,workshop,2026-08-07,website,refunded,attended,vegetarian,200.0,2.5,3.0
s10921,harini iyer,other,2026-08-18,24,chennai,electronics,sports meet,2026-02-08,website,pending,registered,non-vegetarian,200.0,2.5,3.0
s11336,anitha nair,female,2026-02-03,20,pune,computer science,workshop,2025-12-25,walk-in,waived,absent,vegetarian,200.0,2.5,3.0
s11374,harini iyer,male,2026-12-04,21,kochi,electronics,career fair,2026-01-03,website,waived,attended,vegetarian,200.0,2.5,3.0
s11316,ajay nair,male,2026-04-02,21,pune,mechanical,workshop,2026-09-03,campus desk,waived,cancelled,vegetarian,200.0,2.5,1.0
s11426,pooja das,other,2026-03-31,22,chennai,arts,seminar,2026-02-19,website,pending,cancelled,vegetarian,150.0,3.0,3.0
s10955,pooja das,male,2026-07-05,24,madurai,civil engineering,career fair,2026-04-22,email,refunded,absent,non-vegetarian,150.0,1.0,2.0
s12625,priya sharma,male,2026-02-28,21,salem,management,career fair,2026-01-16,website,paid,cancelled,vegetarian,0.0,4.0,2.0
s12201,priya sharma,other,2026-09-01,21,bengaluru,arts,sports meet,2026-07-24,email,pending,cancelled,no-meal,750.0,2.5,3.0
s11835,divya iyer,other,2026-07-02,19,madurai,electronics,workshop,2026-06-21,walk-in,waived,registered,non-vegetarian,0.0,2.0,5.0
s11050,lakshmi rao,male,2026-02-10,17,coimbatore,civil engineering,seminar,2026-10-01,walk-in,paid,registered,vegetarian,200.0,2.5,3.0
s11708,lakshmi rao,male,2026-05-12,22,bengaluru,electronics,sports meet,2026-04-23,campus desk,waived,attended,non-vegetarian,500.0,1.0,1.0
s11033,rahul menon,other,2026-04-03,25,salem,commerce,seminar,2026-01-04,email,pending,registered,no-meal,150.0,6.0,3.0
s11797,ravi patel,male,2026-03-21,25,chennai,management,sports meet,2026-06-02,website,refunded,cancelled,vegetarian,750.0,3.0,2.0
s11416,lakshmi rao,female,2026-07-05,21,bengaluru,mechanical,seminar,2026-10-06,walk-in,refunded,absent,unknown,300.0,1.5,3.0
s11183,naveen sharma,other,2026-04-20,23,trichy,arts,hackathon,2026-08-03,campus desk,refunded,absent,unknown,200.0,2.0,3.0
s10725,ajay nair,other,2026-05-04,19,pune,management,hackathon,2026-03-30,mobile app,waived,absent,non-vegetarian,0.0,2.5,5.0
s11731,arun kumar,female,2026-03-07,23,pune,commerce,workshop,2026-06-02,campus desk,pending,absent,non-vegetarian,250.0,1.0,5.0
s11609,harini iyer,female,2026-05-22,27,salem,management,workshop,2026-04-15,mobile app,refunded,attended,non-vegetarian,200.0,2.5,4.0
s12389,suresh kumar,other,2026-02-02,21,pune,management,sports meet,2026-01-20,website,refunded,absent,non-vegetarian,200.0,2.5,3.0
s12286,suresh kumar,other,2026-07-07,22,chennai,mechanical,cultural fest,2026-06-30,website,refunded,cancelled,vegan,100.0,4.0,3.0
s12516,manoj kumar,female,2026-05-09,19,coimbatore,mechanical,seminar,2026-07-04,website,pending,absent,no-meal,200.0,2.5,2.0
s12567,arun kumar,unknown,2026-06-06,21,hyderabad,management,workshop,2026-04-17,email,paid,attended,non-vegetarian,200.0,6.0,2.0
s12204,swetha menon,male,2026-01-14,23,kochi,civil engineering,seminar,2026-07-01,walk-in,refunded,registered,non-vegetarian,300.0,2.5,3.0
s10232,keerthi rao,male,2026-03-30,17,mysuru,civil engineering,cultural fest,2026-12-03,website,refunded,absent,non-vegetarian,200.0,3.0,4.0
s12662,deepa sharma,male,2026-11-07,21,chennai,electronics,workshop,2026-06-21,campus desk,paid,absent,no-meal,200.0,2.5,3.0
s12222,swetha menon,female,2026-05-09,23,mysuru,management,sports meet,2026-04-13,mobile app,refunded,registered,non-vegetarian,0.0,2.0,1.0
s10053,naveen sharma,female,2026-04-29,24,salem,civil engineering,hackathon,2026-03-25,walk-in,waived,cancelled,unknown,200.0,2.5,3.0
s12205,swetha menon,other,2026-03-28,27,chennai,mechanical,sports meet,2026-12-03,mobile app,pending,absent,non-vegetarian,100.0,2.0,1.0
s12853,anitha nair,male,2026-08-11,24,chennai,commerce,workshop,2026-05-07,website,paid,attended,no-meal,100.0,4.0,2.0
s12330,pooja das,male,2026-06-23,19,mysuru,commerce,sports meet,2026-04-24,campus desk,pending,cancelled,no-meal,500.0,2.0,3.0
s11200,harini iyer,male,2026-03-09,20,kochi,electronics,sports meet,2026-01-27,campus desk,pending,registered,no-meal,750.0,3.0,1.0
s12511,swetha menon,other,2026-06-24,25,trichy,mechanical,cultural fest,2026-05-27,campus desk,refunded,attended,vegetarian,300.0,1.5,3.0
s11428,karthik rao,other,1900-01-01,20,pune,computer science,sports meet,2026-08-06,mobile app,paid,attended,non-vegetarian,300.0,4.0,4.0
s12698,arun kumar,other,2026-08-13,21,chennai,arts,seminar,2026-06-26,walk-in,waived,absent,no-meal,150.0,1.0,1.0
s11042,priya sharma,male,2026-01-08,22,chennai,computer science,seminar,2026-06-25,walk-in,pending,cancelled,vegetarian,300.0,1.0,3.0
s12273,keerthi rao,other,2026-08-27,25,hyderabad,commerce,seminar,2026-08-20,mobile app,refunded,absent,vegan,200.0,2.5,3.0
s10210,karthik rao,female,2026-01-13,17,salem,computer science,sports meet,2025-12-14,mobile app,pending,attended,unknown,300.0,4.0,3.0
s10544,swetha menon,male,2026-07-02,26,kochi,computer science,cultural fest,2026-01-17,walk-in,pending,absent,vegetarian,0.0,6.0,3.0
s10528,harini iyer,female,2026-08-05,21,kochi,arts,career fair,2026-08-07,campus desk,pending,cancelled,non-vegetarian,250.0,3.0,5.0
s12841,priya sharma,other,2026-02-06,21,mysuru,mechanical,sports meet,2026-04-04,mobile app,paid,registered,vegan,100.0,1.5,2.0
s12289,manoj kumar,female,1900-01-01,22,hyderabad,civil engineering,sports meet,2026-02-28,campus desk,waived,absent,vegetarian,100.0,4.0,5.0
s11303,karthik rao,male,2026-01-20,20,bengaluru,management,career fair,2025-06-12,website,paid,registered,non-vegetarian,100.0,3.0,4.0
s10258,deepa sharma,other,2026-07-18,20,trichy,civil engineering,career fair,2026-06-16,email,waived,attended,non-vegetarian,100.0,2.0,3.0
s12963,pooja das,other,2026-08-21,24,mysuru,management,sports meet,2026-07-21,walk-in,waived,registered,non-vegetarian,0.0,4.0,2.0
s10595,lakshmi rao,male,2026-07-09,19,chennai,civil engineering,hackathon,2026-06-16,email,pending,cancelled,no-meal,100.0,2.0,4.0
s11192,karthik rao,male,2026-08-20,18,trichy,commerce,hackathon,2026-01-08,mobile app,paid,cancelled,no-meal,750.0,2.0,3.0
s11204,suresh kumar,other,2026-03-20,21,trichy,commerce,career fair,2026-01-03,mobile app,paid,registered,non-vegetarian,200.0,2.5,3.0
s11892,pooja das,male,2026-08-01,25,chennai,mechanical,hackathon,2026-06-22,mobile app,paid,registered,non-vegetarian,200.0,2.5,2.0
s10730,harini iyer,male,2026-05-10,26,pune,civil engineering,hackathon,2026-03-28,campus desk,refunded,attended,vegan,0.0,1.5,5.0
s12970,karthik rao,other,2026-07-13,20,madurai,civil engineering,cultural fest,2026-05-06,walk-in,waived,absent,no-meal,750.0,1.0,3.0
s10166,suresh kumar,female,2026-07-18,27,coimbatore,civil engineering,career fair,2026-05-25,mobile app,pending,absent,non-vegetarian,500.0,2.5,2.0
s10844,vijay menon,other,2026-07-07,17,bengaluru,management,workshop,2026-01-07,mobile app,paid,registered,vegetarian,500.0,6.0,2.0
s12215,priya sharma,female,2026-02-14,25,mysuru,mechanical,career fair,2026-01-15,email,refunded,registered,vegan,0.0,6.0,5.0
s12198,swetha menon,female,2026-02-08,21,hyderabad,arts,sports meet,2025-12-25,walk-in,refunded,absent,vegan,300.0,1.5,5.0
s10163,pooja das,male,2026-07-22,22,trichy,civil engineering,career fair,2026-06-17,campus desk,paid,attended,vegan,200.0,2.5,3.0
s12952,suresh kumar,female,2026-06-23,18,bengaluru,management,seminar,2026-06-14,website,paid,attended,non-vegetarian,300.0,1.5,3.0
s10515,vikram das,other,2026-03-02,18,bengaluru,commerce,workshop,2026-04-01,website,waived,registered,vegetarian,150.0,4.0,2.0
s11403,karthik rao,other,2026-04-02,23,kochi,computer science,cultural fest,2026-03-22,walk-in,waived,absent,vegetarian,200.0,1.5,1.0
s11768,naveen sharma,male,2026-03-05,22,mysuru,mechanical,seminar,2026-02-15,mobile app,pending,attended,no-meal,200.0,4.0,2.0
s12152,naveen sharma,male,2026-03-12,27,bengaluru,management,career fair,2026-05-03,mobile app,paid,attended,vegan,100.0,1.0,5.0
s11056,rahul menon,other,2026-05-03,20,madurai,computer science,sports meet,2026-03-18,email,paid,registered,vegetarian,300.0,1.0,1.0
s12162,lakshmi rao,male,2026-01-20,20,madurai,management,workshop,2025-09-12,website,pending,registered,vegan,200.0,2.5,3.0
s11292,priya sharma,female,2026-01-12,19,bengaluru,arts,seminar,2026-06-01,campus desk,pending,cancelled,vegetarian,200.0,1.5,5.0
s11641,anitha nair,female,2026-11-07,25,hyderabad,commerce,seminar,2026-08-07,website,refunded,cancelled,vegan,500.0,6.0,3.0
s12038,priya sharma,other,2026-06-12,17,mysuru,electronics,career fair,2026-03-05,website,waived,registered,no-meal,100.0,4.0,3.0
s11401,vijay menon,other,2026-01-19,20,madurai,management,seminar,2025-11-20,walk-in,refunded,registered,non-vegetarian,750.0,2.0,3.0
s12767,naveen sharma,female,2026-07-11,21,mysuru,commerce,cultural fest,2026-06-14,email,pending,absent,vegetarian,100.0,1.0,2.0
s11724,vijay menon,male,2026-03-04,19,chennai,civil engineering,cultural fest,2026-12-02,campus desk,paid,cancelled,vegetarian,300.0,6.0,1.0
s10388,priya sharma,female,2026-02-18,27,unknown,electronics,hackathon,2025-12-26,mobile app,pending,absent,non-vegetarian,150.0,1.5,3.0
s12545,karthik rao,male,2026-06-01,21,hyderabad,management,career fair,2026-05-26,email,pending,cancelled,vegan,250.0,3.0,5.0
s10164,lakshmi rao,other,2026-02-27,26,chennai,electronics,cultural fest,2026-06-01,website,refunded,attended,non-vegetarian,300.0,6.0,5.0
s12481,deepa sharma,other,2026-08-13,26,mysuru,computer science,sports meet,2026-07-23,email,pending,absent,vegetarian,100.0,1.0,4.0
s10772,keerthi rao,unknown,2026-07-26,24,chennai,electronics,sports meet,2026-06-21,campus desk,refunded,attended,vegan,250.0,3.0,3.0
s10007,keerthi rao,male,2026-03-21,19,hyderabad,civil engineering,sports meet,2026-02-21,website,waived,absent,vegetarian,750.0,1.0,3.0
s10598,karthik rao,female,2026-05-12,24,trichy,commerce,career fair,2026-05-05,website,pending,cancelled,vegetarian,300.0,1.5,3.0
s11048,karthik rao,other,2026-04-04,23,unknown,electronics,sports meet,2026-02-16,mobile app,paid,registered,vegan,100.0,6.0,1.0
s12022,ajay nair,female,2026-06-22,22,chennai,commerce,seminar,2026-05-25,mobile app,refunded,absent,no-meal,500.0,6.0,3.0
s12309,manoj kumar,female,2026-03-18,26,chennai,civil engineering,cultural fest,2026-01-22,mobile app,refunded,absent,non-vegetarian,250.0,6.0,5.0
s12758,pooja das,male,2026-06-27,17,salem,arts,seminar,2026-04-30,mobile app,waived,cancelled,vegetarian,300.0,3.0,4.0
s11304,priya sharma,other,2026-07-15,26,chennai,electronics,seminar,2026-08-07,website,pending,attended,no-meal,750.0,6.0,5.0
s12020,lakshmi rao,other,2026-01-06,26,trichy,civil engineering,workshop,2025-11-14,email,pending,registered,no-meal,500.0,3.0,3.0
s10635,keerthi rao,other,2026-03-02,17,trichy,arts,cultural fest,2026-02-22,website,paid,registered,vegetarian,200.0,2.5,3.0
s10695,ravi patel,female,2026-07-22,24,bengaluru,commerce,seminar,2026-05-26,website,waived,cancelled,non-vegetarian,200.0,2.5,4.0
s10721,pooja das,male,2026-12-04,21,bengaluru,mechanical,career fair,2026-02-25,mobile app,pending,absent,vegetarian,150.0,2.0,2.0
s12650,harini iyer,female,2026-01-05,18,chennai,management,workshop,2025-11-16,website,waived,registered,vegan,0.0,1.5,4.0
s10989,swetha menon,female,2026-01-23,20,kochi,arts,cultural fest,2026-02-01,website,refunded,registered,unknown,200.0,2.5,3.0
s11095,pooja das,other,2026-11-03,27,mysuru,electronics,sports meet,2026-02-22,email,waived,registered,vegan,300.0,2.0,3.0
s10919,vikram das,female,2026-05-04,19,chennai,mechanical,workshop,2026-06-03,walk-in,refunded,attended,non-vegetarian,750.0,1.0,1.0
s12211,suresh kumar,other,2026-05-14,21,madurai,mechanical,career fair,2026-02-05,email,pending,absent,vegan,750.0,2.5,2.0
s12044,keerthi rao,other,2026-02-21,22,coimbatore,electronics,cultural fest,2025-12-27,campus desk,waived,attended,vegan,200.0,2.5,4.0
s12694,deepa sharma,other,2026-07-31,22,hyderabad,computer science,cultural fest,2026-06-14,mobile app,paid,absent,vegetarian,100.0,1.5,3.0
s11281,anitha nair,male,2026-02-04,26,hyderabad,electronics,sports meet,2026-01-20,walk-in,refunded,attended,non-vegetarian,200.0,2.5,3.0
s12252,pooja das,male,2026-06-16,27,mysuru,mechanical,career fair,2026-09-05,mobile app,pending,attended,vegan,150.0,3.0,3.0
s10671,ajay nair,female,2026-02-21,23,chennai,commerce,cultural fest,2026-09-01,website,pending,registered,no-meal,200.0,2.5,3.0
s10596,deepa sharma,other,2026-01-25,27,kochi,arts,cultural fest,2025-11-29,walk-in,pending,registered,no-meal,200.0,2.5,3.0
s12213,lakshmi rao,other,2026-08-06,23,coimbatore,civil engineering,workshop,2026-07-06,unknown,pending,registered,vegetarian,300.0,3.0,3.0
s12745,harini iyer,other,2026-07-03,18,chennai,mechanical,career fair,2026-05-26,walk-in,waived,cancelled,no-meal,100.0,2.0,2.0
s10299,vijay menon,male,2026-07-20,19,pune,mechanical,sports meet,2026-06-14,website,refunded,registered,no-meal,250.0,2.0,4.0
s10273,vijay menon,other,2026-05-28,25,madurai,commerce,cultural fest,2026-05-23,walk-in,pending,cancelled,vegetarian,250.0,2.0,1.0
s12525,pooja das,other,2026-07-06,25,unknown,computer science,hackathon,2026-05-28,website,refunded,absent,vegan,200.0,2.5,1.0
s11681,ravi patel,other,2026-06-14,22,kochi,electronics,career fair,2026-04-21,website,paid,cancelled,vegan,500.0,6.0,2.0
s10107,lakshmi rao,male,2026-05-03,22,mysuru,management,workshop,2026-04-19,mobile app,refunded,cancelled,no-meal,150.0,2.0,3.0
s12384,meena patel,male,2026-03-07,17,salem,commerce,career fair,2026-01-02,email,paid,absent,vegetarian,200.0,2.5,3.0
s12073,karthik rao,male,2026-02-02,24,bengaluru,arts,cultural fest,2026-01-14,walk-in,waived,registered,no-meal,200.0,6.0,2.0
s12802,ravi patel,male,2026-02-11,21,salem,management,workshop,2026-01-23,email,pending,absent,no-meal,100.0,4.0,4.0
s10238,harini iyer,other,2026-04-02,24,trichy,electronics,sports meet,2026-03-14,email,pending,absent,no-meal,200.0,2.5,4.0
s10235,swetha menon,other,2026-05-25,22,mysuru,computer science,workshop,2026-04-21,website,waived,absent,vegan,100.0,1.0,2.0
s10103,keerthi rao,male,2026-05-04,25,kochi,civil engineering,cultural fest,2026-03-21,mobile app,waived,attended,no-meal,300.0,1.5,5.0
s10274,pooja das,female,2026-05-08,21,kochi,commerce,sports meet,2026-04-30,walk-in,refunded,cancelled,vegetarian,100.0,2.5,2.0
s12027,rahul menon,female,2026-03-26,17,pune,management,workshop,2026-03-19,mobile app,pending,absent,vegetarian,150.0,2.5,3.0
s12713,manoj kumar,female,2026-06-05,18,salem,computer science,hackathon,2026-05-26,email,refunded,cancelled,no-meal,100.0,4.0,1.0
s12974,pooja das,female,2026-06-18,27,salem,electronics,career fair,2026-08-05,mobile app,refunded,registered,non-vegetarian,100.0,4.0,5.0
s11519,lakshmi rao,female,2026-04-14,23,pune,arts,seminar,2026-03-23,website,refunded,attended,unknown,750.0,1.5,2.0
s10430,lakshmi rao,other,2026-10-01,25,madurai,commerce,workshop,2026-08-01,mobile app,refunded,cancelled,non-vegetarian,200.0,1.0,4.0
s12059,meena patel,other,2026-12-02,23,hyderabad,management,seminar,2025-12-27,email,waived,cancelled,vegan,250.0,2.0,1.0
s10763,arun kumar,male,2026-06-26,18,unknown,commerce,sports meet,2026-06-06,mobile app,pending,attended,no-meal,750.0,2.0,5.0
s12165,arun kumar,female,2026-01-31,23,coimbatore,arts,seminar,2026-01-01,email,pending,cancelled,no-meal,250.0,4.0,1.0
s12782,rahul menon,female,2026-07-17,23,salem,arts,career fair,2026-04-07,website,paid,registered,vegetarian,750.0,1.5,5.0
s12941,vijay menon,female,2026-03-20,24,kochi,civil engineering,sports meet,2026-03-15,campus desk,paid,registered,no-meal,200.0,2.5,5.0
s11995,karthik rao,other,2026-06-13,27,bengaluru,commerce,workshop,2026-07-05,mobile app,paid,registered,no-meal,100.0,3.0,1.0
s10156,vikram das,male,2026-01-22,17,salem,electronics,cultural fest,2026-02-01,website,refunded,absent,vegan,100.0,1.0,3.0
s11874,karthik rao,male,2026-04-18,18,kochi,management,career fair,2026-03-30,mobile app,paid,absent,vegetarian,300.0,6.0,2.0
s12080,divya iyer,other,2026-05-07,25,trichy,mechanical,workshop,2026-06-15,walk-in,paid,attended,vegan,0.0,6.0,3.0
s12871,arun kumar,other,2026-03-02,17,kochi,electronics,hackathon,2026-10-02,mobile app,refunded,attended,vegan,200.0,2.5,1.0
s12592,naveen sharma,male,2026-05-05,26,kochi,management,workshop,2026-11-04,website,refunded,absent,non-vegetarian,0.0,2.0,3.0
s12688,priya sharma,female,2026-04-29,17,coimbatore,mechanical,career fair,2026-09-03,mobile app,paid,cancelled,vegetarian,250.0,1.5,2.0
s10765,meena patel,female,2026-03-04,21,trichy,mechanical,career fair,2026-03-01,campus desk,refunded,cancelled,vegan,200.0,2.5,3.0
s10847,vikram das,male,2026-07-17,18,kochi,civil engineering,hackathon,2026-06-07,mobile app,paid,absent,vegan,0.0,1.0,4.0
s10649,priya sharma,male,2026-06-30,17,bengaluru,electronics,workshop,2026-08-06,walk-in,paid,cancelled,no-meal,100.0,4.0,5.0
s11594,swetha menon,female,2026-03-28,18,hyderabad,computer science,hackathon,2026-03-21,email,paid,attended,unknown,750.0,4.0,3.0
s12847,manoj kumar,female,2026-06-21,19,pune,commerce,seminar,2026-05-21,mobile app,pending,absent,vegan,200.0,2.5,1.0
s11266,harini iyer,female,2026-08-13,20,coimbatore,electronics,hackathon,2026-06-18,website,waived,attended,non-vegetarian,100.0,3.0,1.0
s12889,priya sharma,other,2026-01-05,20,salem,arts,cultural fest,2025-11-22,website,paid,attended,vegan,0.0,4.0,3.0
s11693,karthik rao,other,2026-04-20,17,salem,civil engineering,hackathon,2026-03-15,walk-in,pending,cancelled,no-meal,250.0,2.5,1.0
s10837,divya iyer,male,2026-05-07,17,coimbatore,computer science,cultural fest,2026-04-26,mobile app,refunded,cancelled,no-meal,300.0,2.5,5.0
s10014,meena patel,unknown,2026-02-13,21,kochi,commerce,workshop,2026-01-31,email,waived,cancelled,no-meal,200.0,2.5,5.0
